LM099,Bachelor of Architecture (LM099)
LM002,Bachelor of Arts (LM002)
LM044,Bachelor of Arts in Applied Languages (LM044)
LM249,Bachelor of Arts in Applied Policing and Criminal Justice (LM249)
LM227,Bachelor of Arts in Applied Taxation (LM227)
LM133,Bachelor of Arts in Contemporary Dance (LM133)
LM028,Bachelor of Arts in Criminal Justice (LM028)
LM040,Bachelor of Arts in European Studies (LM040)
LM215,Bachelor of Arts in Human Resource Management (LM215)
LM056,Bachelor of Arts in International Business (LM056)
LM043,Bachelor of Arts in International Insurance and European Studies (LM043)
LM132,Bachelor of Arts in Irish Dance (LM132)
LM131,Bachelor of Arts in Irish Music (LM131)
LM027,Bachelor of Arts in Journalism and Digital Communication (LM027)
LM039,Bachelor of Arts in Journalism and New Media (LM039)
LM020,Bachelor of Arts in Law and Accounting (LM020)
LM026,Bachelor of Arts in Performing Arts (LM026)
LM022,Bachelor of Arts in Politics and International Relations (LM022)
LM038,Bachelor of Arts in Psychology and Sociology (LM038)
LM698,Bachelor of Arts in Test (LM698)
LM134,Bachelor of Arts in Voice (LM134)
LM135,Bachelor of Arts in World Music (LM135)
LM050,Bachelor of Business Studies (LM050)
LM052,Bachelor of Business Studies with French (LM052)
LM053,Bachelor of Business Studies with German (LM053)
LM055,Bachelor of Business Studies with Japanese (LM055)
LM054,Bachelor of Business Studies with Spanish (LM054)
LM091,Bachelor of Education in Languages (LM091)
LM116,Bachelor of Engineering (LM116)
LM077,Bachelor of Engineering in Aeronautical Engineering (LM077)
LM071,Bachelor of Engineering in Biomedical Engineering (LM071)
LM115,Bachelor of Engineering in Chemical and Biochemical Engineering (LM115)
LM085,Bachelor of Engineering in Civil Engineering (LM085)
LM119,Bachelor of Engineering in Design and Manufacture (LM119)
LM118,Bachelor of Engineering in Electronic and Computer Engineering (LM118)
LM073,Bachelor of Engineering in Mechanical Engineering (LM073)
LM049,Bachelor of Laws (LM049)
LM029,Bachelor of Laws (Law Plus) (LM029)
LM101,Bachelor of Medicine Bachelor of Surgery (LM101)
LM092,Bachelor of Science (Education) in Biology with Physics or Chemistry or Agricultural Science (LM092)
LM097,Bachelor of Science (Education) in Mathematics and Computer Science (LM097)
LM096,Bachelor of Science (Education) in Physical Science with Chemistry and Physics (LM096)
LM150,Bachelor of Science Nursing (General) (LM150)
LM154,Bachelor of Science Nursing (Intellectual Disability) (LM154)
LM152,Bachelor of Science Nursing (Mental Health) (LM152)
LM120,Bachelor of Science in Aircraft Maintenance and Airworthiness Engineering (LM120)
LM065,Bachelor of Science in Applied Physics (LM065)
LM123,Bachelor of Science in Biological and Chemical Sciences (LM123)
LM187,Bachelor of Science in Bioscience (LM187)
LM110,Bachelor of Science in Computer Games Development (LM110)
LM121,Bachelor of Science in Computer Science (LM121)
LM051,Bachelor of Science in Computer Systems (LM051)
LM082,Bachelor of Science in Construction Management and Engineering (LM082)
LM122,Bachelor of Science in Creative Media and Interactive Design (LM122)
LM113,Bachelor of Science in Digital Media Design (LM113)
LM037,Bachelor of Science in Economics and Mathematical Sciences (LM037)
LM037,Bachelor of Science in Economics and Mathematics (LM037)
LM261,Bachelor of Science in Engineering Science (LM261)
LM066,Bachelor of Science in Environmental Science (LM066)
LM093,Bachelor of Science in Equine Science (LM093)
LM186,Bachelor of Science in Equine Science Transferee (LM186)
LM203,Bachelor of Science in Exercise and Health Fitness (LM203)
LM266,Bachelor of Science in Exercise and Health Fitness (LM266)
LM058,Bachelor of Science in Financial Mathematics (LM058)
LM068,Bachelor of Science in Food Science and Health (LM068)
LM064,Bachelor of Science in Industrial Biochemistry (LM064)
LM060,Bachelor of Science in Mathematical Sciences (LM060)
LM124,Bachelor of Science in Mathematics (LM124)
LM088,Bachelor of Science in Mathematics and Physics (LM088)
LM156,Bachelor of Science in Midwifery (LM156)
LM083,Bachelor of Science in Mobile Communications and Security (LM083)
LM114,Bachelor of Science in Music,Media and Performance Technology (LM114)
LM196,Bachelor of Science in Nursing Studies (LM196)
LM103,Bachelor of Science in Paramedic Studies (LM103)
LM263,Bachelor of Science in Paramedic Studies (Practitioner) (LM263)
LM061,Bachelor of Science in Pharmaceutical and Industrial Chemistry (LM061)
LM090,Bachelor of Science in Physical Education (LM090)
LM125,Bachelor of Science in Physics (LM125)
LM100,Bachelor of Science in Physiotherapy (LM100)
LM076,Bachelor of Science in Product Design and Technology (LM076)
LM102,Bachelor of Science in Psychology (LM102)
LM950,Bachelor of Science in Quality and Regulatory Affairs (LM950)
LM089,Bachelor of Science in Sport and Exercise Sciences (LM089)
LM269,Bachelor of Science in Supply Chain Management (LM269)
LM063,Bachelor of Science in Technology Management (LM063)
LM094,Bachelor of Technology (Education) in Materials and Architectural Technology (LM094)
LM095,Bachelor of Technology (Education) in Materials and Engineering Technology (LM095)
LMXXX,Blas Summer School (LMXXX)
LM192,Certificate in Access Studies for Higher Education (LM192)
LM956,Certificate in Artificial Intelligence (LM956)
LM180,Certificate in Equine Science (LM180)
LM243,Certificate in Exercise and Health Fitness (LM243)
LM268,Certificate in Exercise and Health Fitness (LM268)
LM260,Certificate in History of Family and Genealogical Methods (LM260)
LM490,Certificate in Language and International Business (LM490)
LM236,Certificate in Local History (LM236)
LM415,Certificate in Management - Distance Learning (LM415)
LM130,Certificate in Music and Dance (LM130)
LM195,Certificate in Nursing (Nurse / Midwife Prescribing) (LM195)
LM472,Certificate in Public Procurement and Supply Chain Excellence (LM472)
LM278,Certificate in Robotics (LM278)
LM272,Certificate in Supply Chain Management (Production and Inventory Management) (LM272)
LM262,Certificate of Quality Engineering (LM262)
LM237,Dioplóma sa Ghaeilge: An Ghaeilge sa Saol Comhaimseartha (LM237)
LM288,Diploma in Applied Tax Administration (LM288)
LM222,Diploma in Applied Taxation (LM222)
LM228,Diploma in Applied Taxation (LM228)
LM200,Diploma in Community,Wellness,Empowerment,Leadership and Lifeskills (LM200)
LM219,Diploma in Drug and Alcohol Studies (LM219)
LM182,Diploma in Equine Science (LM182)
LM202,Diploma in Exercise and Health Fitness (LM202)
LM267,Diploma in Exercise and Health Fitness (LM267)
LM410,Diploma in Health Services Management (LM410)
LM229,Diploma in Human Resource Management (LM229)
LM412,Diploma in Management (LM412)
LM473,Diploma in Public Procurement and Supply Chain Excellence (LM473)
LM264,Diploma in Supply Chain Management (LM264)
LM280,Diploma in Supply Chain Management (LM280)
LM610,Doctor of Clinical Psychology (LM610)
LM717,Doctorate in Engineering (LM717)
LM494,Graduate Certificate in Serious Crime Investigation (LM494)
LM405,Graduate Certificate in Technical Writing (LM405)
LM379,Graduate Diploma in Chemical Engineering (LM379)
LM331,Graduate Diploma in Computer Engineering (LM331)
LM408,Graduate Diploma in Journalism (LM408)
LM591,Graduate Diploma in Journalism (LM591)
LM654,Graduate Diploma in Peace and Development (LM654)
LM588,Graduate Diploma in Public Administration (LM588)
LM364,Graduate Diploma in Safety and Ergonomics (LM364)
LM340,Graduate Diploma in Special Education Needs (LM340)
LM467,Graduate Diploma in Teaching Learning and Scholarship (LM467)
LM436,Graduate Diploma in Technical Communication and E-Learning (LM436)
LM201,Higher Certificate in Exercise and Health Fitness (LM201)
LM270,Higher Certificate in Supervisory and Human Resources Practice (LM270)
LM637,Higher Diploma in Data Analytics and Software Development (LM637)
LM284,Higher Diploma in International Financial Services (LM284)
LM281,Higher Diploma in Manufacturing and Automation (LM281)
LM185,Higher Diploma in Midwifery (LM185)
LM710,Higher Diploma in Software Development (LM710)
